kabupaten,tahun,produksi_padi,curah_hujan,suhu,kelembaban,ipm,kemiskinan,sanitasi,air_bersih
Kabupaten Bandung,2011,1061019,2549.0,23.4,82.0,70.71,8.73,73.74,91.95
Kabupaten Bandung,2012,785153,1886.0,22.5,77.0,71.85,7.65,73.44,82.94
Kabupaten Bandung,2013,1093720,2474.0,24.1,69.0,70.53,7.84,81.7,82.6
Kabupaten Bandung,2014,1161737,2480.0,23.4,74.0,71.0,6.94,86.69,93.93
Kabupaten Bandung,2015,1049860,2853.0,23.3,78.0,72.99,6.96,68.02,88.83
Kabupaten Bandung,2016,1278401,3004.0,23.9,93.0,71.36,5.95,76.17,96.26
Kabupaten Bandung,2017,1384665,2495.0,23.0,97.0,70.63,6.4,92.62,83.65
Kabupaten Bandung,2018,1212482,2469.0,23.2,83.0,73.08,7.99,92.7,95.54
Kabupaten Bandung,2019,1044168,1895.0,23.6,80.0,73.42,7.97,61.92,76.06
Kabupaten Bandung,2020,959200,1581.0,24.1,80.0,72.52,6.89,67.86,79.93
Kabupaten Bandung,2021,1414008,2247.0,23.5,61.0,75.62,7.03,80.32,85.86
Kabupaten Bandung,2022,1085274,1840.0,25.2,80.0,71.42,6.13,67.18,71.29
Kabupaten Bandung,2023,1106398,2347.0,23.3,75.0,75.58,6.79,78.35,79.55
Kabupaten Garut,2004,616918,2895.0,24.3,70.0,67.73,13.87,83.06,65.89
Kabupaten Garut,2005,557961,2250.0,23.3,80.0,67.88,13.28,68.34,68.28
Kabupaten Garut,2006,708151,2126.0,23.9,81.0,68.17,12.75,,65.43
Kabupaten Garut,2007,542370,1744.0,24.8,71.0,68.37,12.56,69.38,85.6
Kabupaten Garut,2008,749125,1482.0,22.7,76.0,69.27,13.8,87.99,79.03
Kabupaten Garut,2009,628175,,24.2,,69.48,12.41,78.4,70.67
Kabupaten Garut,2010,476839,2908.0,25.0,85.0,69.82,14.59,83.28,70.79
Kabupaten Garut,2011,779778,2536.0,24.3,82.0,68.53,11.41,85.83,67.73
Kabupaten Garut,2012,495320,2923.0,22.9,74.0,69.38,13.08,76.66,86.9
Kabupaten Garut,2013,465102,2669.0,23.9,84.0,68.77,11.59,80.89,76.03
Kabupaten Garut,2014,597767,2746.0,,77.0,70.22,11.2,88.67,91.38
Kabupaten Garut,2015,593203,2049.0,24.3,67.0,69.13,12.88,64.79,96.36
Kabupaten Garut,2016,506209,2500.0,24.4,80.0,71.56,13.06,89.72,73.24
Kabupaten Garut,2017,731661,1819.0,23.7,85.0,69.16,12.23,70.41,95.51
Kabupaten Garut,2018,737990,2577.0,23.5,86.0,72.61,12.28,64.22,67.54
Kabupaten Garut,2019,678537,,24.5,78.0,70.65,12.37,87.68,75.52
Kabupaten Garut,2020,713254,2767.0,23.0,84.0,69.45,11.96,87.96,97.93
Kabupaten Garut,2021,635557,3260.0,23.4,76.0,72.63,9.26,94.44,90.35
Kabupaten Garut,2022,471895,1698.0,23.3,85.0,70.13,11.72,68.18,66.39
Kabupaten Garut,2023,531620,1606.0,23.1,72.0,75.04,11.78,63.13,78.78
Kabupaten Tasikmalaya,2004,1357796,3723.0,25.5,97.0,74.2,5.34,87.29,76.55
Kabupaten Tasikmalaya,2005,1214343,4352.0,,74.0,74.55,6.18,67.83,82.72
Kabupaten Tasikmalaya,2006,1632223,4606.0,25.0,77.0,74.93,5.78,82.93,83.18
Kabupaten Tasikmalaya,2007,1391180,3269.0,24.9,70.0,75.15,5.03,62.84,72.27
Kabupaten Tasikmalaya,2008,1221867,3541.0,25.3,88.0,75.18,5.09,83.73,83.67
Kabupaten Tasikmalaya,2009,1532204,3785.0,25.1,84.0,75.98,6.07,84.79,92.62
Kabupaten Tasikmalaya,2010,1536678,4182.0,26.2,84.0,75.09,4.91,71.73,89.54
Kabupaten Tasikmalaya,2011,1353874,3639.0,25.1,80.0,74.91,6.56,81.59,97.38
Kabupaten Tasikmalaya,2012,1054506,3895.0,25.7,95.0,76.87,5.91,93.7,76.28
Kabupaten Tasikmalaya,2013,1638174,3801.0,25.4,76.0,75.91,5.04,62.36,84.21
Kabupaten Tasikmalaya,2014,1562187,2356.0,25.0,82.0,77.48,7.05,83.92,79.71
Kabupaten Tasikmalaya,2015,1311656,2407.0,24.0,83.0,77.59,5.07,62.88,87.46
Kabupaten Tasikmalaya,2016,1070314,3980.0,25.7,79.0,76.91,3.47,94.44,78.51
Kabupaten Tasikmalaya,2017,1187233,3225.0,25.5,71.0,78.87,6.07,93.89,71.12
Kabupaten Tasikmalaya,2018,1392823,3699.0,25.7,83.0,78.8,4.68,87.88,80.89
Kabupaten Tasikmalaya,2019,1465606,2930.0,26.4,79.0,75.99,3.38,69.41,91.32
Kabupaten Tasikmalaya,2020,1236061,2108.0,25.1,63.0,78.68,5.77,87.29,66.31
Kabupaten Tasikmalaya,2021,1409263,2733.0,25.3,79.0,79.05,3.12,79.59,65.32
Kabupaten Tasikmalaya,2022,1366128,2005.0,25.2,75.0,76.18,4.82,79.86,87.75
Kabupaten Tasikmalaya,2023,1268864,3002.0,25.7,89.0,76.28,3.91,61.82,82.86
Kabupaten Ciamis,2004,1096660,3858.0,26.5,89.0,77.03,7.44,62.11,73.15
Kabupaten Ciamis,2005,1111217,2573.0,,84.0,77.28,8.55,85.17,72.54
Kabupaten Ciamis,2006,895744,3607.0,26.3,81.0,77.24,8.53,85.45,89.51
Kabupaten Ciamis,2007,1060229,2033.0,,69.0,77.98,9.12,90.57,94.72
Kabupaten Ciamis,2008,814055,2870.0,27.1,81.0,77.68,8.46,64.6,88.62
Kabupaten Ciamis,2009,1203797,3451.0,26.4,68.0,78.83,7.36,,76.85
Kabupaten Ciamis,2010,891258,3448.0,26.8,79.0,78.09,8.03,64.58,97.0
Kabupaten Ciamis,2011,963626,2233.0,26.4,65.0,79.47,7.48,68.7,85.37
Kabupaten Ciamis,2012,942553,3579.0,27.1,,78.97,7.01,90.39,71.79
Kabupaten Ciamis,2013,1288170,3029.0,26.2,80.0,80.45,7.13,64.27,79.92
Kabupaten Ciamis,2014,1047411,3532.0,26.2,80.0,78.47,6.37,90.38,80.01
Kabupaten Ciamis,2015,1151321,1879.0,28.3,73.0,78.22,7.55,84.66,71.66
Kabupaten Ciamis,2016,1122864,2820.0,27.2,78.0,78.86,6.46,81.62,93.67
Kabupaten Ciamis,2017,1402130,2950.0,26.6,,80.96,7.67,83.06,78.0
Kabupaten Ciamis,2018,953349,3434.0,27.2,78.0,81.71,6.99,74.14,75.79
Kabupaten Ciamis,2019,1135637,3920.0,26.9,85.0,80.49,6.4,64.21,82.97
Kabupaten Ciamis,2020,871455,2176.0,26.0,90.0,80.78,6.13,62.56,84.91
Kabupaten Ciamis,2021,980947,3948.0,27.5,64.0,83.13,5.86,76.77,65.85
Kabupaten Ciamis,2022,891068,2248.0,27.4,67.0,81.71,6.64,85.13,96.53
Kabupaten Ciamis,2023,1171202,3078.0,26.8,78.0,79.5,6.79,68.99,74.4
Kabupaten Kuningan,2004,422005,3690.0,25.1,78.0,69.67,10.8,84.82,68.53
Kabupaten Kuningan,2005,396404,2116.0,26.0,79.0,70.01,11.07,61.52,85.89
Kabupaten Kuningan,2006,504661,3443.0,25.7,80.0,70.01,9.53,89.4,94.7
Kabupaten Kuningan,2007,625626,2333.0,25.3,74.0,70.71,11.24,83.36,68.15
Kabupaten Kuningan,2008,433474,4438.0,25.0,82.0,70.95,10.05,60.83,86.19
Kabupaten Kuningan,2009,485920,3704.0,27.0,76.0,71.06,9.25,94.57,69.5
Kabupaten Kuningan,2010,435828,4124.0,,76.0,71.52,10.28,69.6,67.62
Kabupaten Kuningan,2011,616618,2744.0,25.1,75.0,70.52,9.19,62.37,91.41
Kabupaten Kuningan,2012,512949,2139.0,25.9,85.0,71.75,11.31,94.79,86.84
Kabupaten Kuningan,2013,405651,4145.0,25.9,75.0,72.09,9.38,66.14,87.77
Kabupaten Kuningan,2014,508159,2227.0,25.6,73.0,72.94,11.07,92.45,72.74
Kabupaten Kuningan,2015,540851,2427.0,25.5,88.0,72.49,9.8,63.12,89.92
Kabupaten Kuningan,2016,505497,3011.0,26.1,,71.0,9.54,63.07,95.92
Kabupaten Kuningan,2017,396612,1965.0,,72.0,73.31,7.99,92.18,81.4
Kabupaten Kuningan,2018,501653,,26.2,77.0,74.72,8.49,62.83,78.3
Kabupaten Kuningan,2019,569314,3439.0,25.2,80.0,74.05,8.86,64.64,93.45
Kabupaten Kuningan,2020,493710,3614.0,26.5,,72.11,8.66,72.86,67.25
Kabupaten Kuningan,2021,472881,3141.0,26.0,79.0,72.96,9.81,75.38,68.49
Kabupaten Kuningan,2022,405647,3478.0,26.6,88.0,72.29,10.38,62.04,97.83
Kabupaten Kuningan,2023,606384,3198.0,25.5,75.0,75.51,10.29,77.83,97.89
Kabupaten Cirebon,2004,1037603,2616.0,24.5,86.0,74.36,10.76,85.68,90.39
Kabupaten Cirebon,2005,1171822,2714.0,24.4,77.0,74.54,9.67,64.8,82.67
Kabupaten Cirebon,2006,1046805,2713.0,23.4,94.0,75.07,8.81,,89.33
Kabupaten Cirebon,2007,1222859,1472.0,24.3,73.0,75.36,7.57,93.44,90.97
Kabupaten Cirebon,2008,1441060,2118.0,23.6,77.0,75.77,9.7,82.3,86.76
Kabupaten Cirebon,2009,1400281,2881.0,25.0,75.0,75.64,9.82,85.81,81.9
Kabupaten Cirebon,2010,1188000,2779.0,24.7,76.0,75.09,9.09,70.38,76.54
Kabupaten Cirebon,2011,1469937,3101.0,25.2,76.0,75.27,8.76,86.75,73.75
Kabupaten Cirebon,2012,1342295,,23.8,76.0,75.45,9.57,,66.38
Kabupaten Cirebon,2013,1456247,,25.6,85.0,77.03,10.1,71.84,95.63
Kabupaten Cirebon,2014,1120497,2030.0,23.5,66.0,77.2,8.0,66.91,94.27
Kabupaten Cirebon,2015,1169090,1998.0,25.1,82.0,78.25,8.49,68.83,89.92
Kabupaten Cirebon,2016,1454237,2653.0,25.1,85.0,77.92,9.74,92.81,66.42
Kabupaten Cirebon,2017,1235850,,24.5,85.0,76.49,9.27,89.42,89.18
Kabupaten Cirebon,2018,1654771,3317.0,23.4,,78.13,8.61,86.64,70.28
Kabupaten Cirebon,2019,1396383,2593.0,24.5,85.0,80.32,8.83,74.05,91.4
Kabupaten Cirebon,2020,1278359,1965.0,25.0,90.0,76.86,9.17,60.18,90.11
Kabupaten Cirebon,2021,1498725,1938.0,23.9,76.0,80.53,6.6,72.89,79.8
Kabupaten Cirebon,2022,1338960,2915.0,23.5,90.0,78.39,8.85,63.25,84.41
Kabupaten Cirebon,2023,1124516,3939.0,24.4,80.0,79.46,7.65,81.12,87.32
Kabupaten Majalengka,2004,1186160,1854.0,27.5,,72.47,3.93,71.49,79.32
Kabupaten Majalengka,2005,1181874,2005.0,,90.0,72.87,5.21,82.49,78.9
Kabupaten Majalengka,2006,1440176,2277.0,27.0,73.0,73.18,6.24,66.46,76.95
Kabupaten Majalengka,2007,1499007,2097.0,26.1,82.0,73.01,4.54,90.55,92.78
Kabupaten Majalengka,2008,1311009,1822.0,26.4,,73.03,4.78,75.29,89.07
Kabupaten Majalengka,2009,1540820,1793.0,27.4,73.0,74.1,4.6,93.48,67.28
Kabupaten Majalengka,2010,1198947,1956.0,26.6,74.0,74.71,5.35,75.74,90.63
Kabupaten Majalengka,2011,1070585,2030.0,26.7,63.0,73.9,4.61,60.76,86.91
Kabupaten Majalengka,2012,1229465,2250.0,26.2,76.0,75.03,4.31,66.93,83.66
Kabupaten Majalengka,2013,988219,2229.0,27.1,68.0,73.68,5.58,67.89,73.28
Kabupaten Majalengka,2014,1253854,2508.0,26.5,80.0,76.05,3.9,79.02,67.7
Kabupaten Majalengka,2015,1150220,1602.0,25.4,83.0,75.1,4.89,82.78,83.0
Kabupaten Majalengka,2016,1221030,1742.0,27.0,89.0,73.86,2.92,65.76,75.9
Kabupaten Majalengka,2017,1071313,2089.0,28.1,82.0,77.2,2.95,68.36,79.89
Kabupaten Majalengka,2018,1378476,2007.0,27.0,100.0,74.32,3.13,87.15,96.83
Kabupaten Majalengka,2019,1426923,2085.0,26.3,86.0,76.57,2.89,87.93,78.07
Kabupaten Majalengka,2020,1229623,2387.0,27.4,74.0,77.88,3.82,66.45,94.5
Kabupaten Majalengka,2021,1143533,1650.0,27.4,94.0,74.6,1.74,88.13,81.67
Kabupaten Majalengka,2022,1202692,2224.0,26.5,82.0,79.04,4.64,85.18,94.38
Kabupaten Majalengka,2023,1690049,2118.0,26.9,82.0,79.04,3.07,84.86,75.37
Kabupaten Sumedang,2004,678384,3767.0,25.6,74.0,70.37,8.98,72.18,79.86
Kabupaten Sumedang,2005,688024,3623.0,26.1,69.0,70.72,10.36,94.27,85.93
Kabupaten Sumedang,2006,774153,2646.0,26.0,72.0,70.61,9.06,89.3,74.22
Kabupaten Sumedang,2007,790851,4008.0,25.9,66.0,70.86,9.52,,86.55
Kabupaten Sumedang,2008,812775,3562.0,24.6,85.0,71.86,8.26,75.65,80.19
Kabupaten Sumedang,2009,749705,3231.0,26.0,81.0,71.03,9.07,61.47,89.42
Kabupaten Sumedang,2010,708793,3408.0,25.0,85.0,72.61,9.47,69.85,93.8
Kabupaten Sumedang,2011,675261,3356.0,24.9,73.0,71.57,9.5,76.41,74.94
Kabupaten Sumedang,2012,556525,3633.0,25.9,73.0,71.28,8.7,80.76,94.45
Kabupaten Sumedang,2013,832079,3604.0,24.9,80.0,73.95,7.91,78.25,67.1
Kabupaten Sumedang,2014,771414,3874.0,25.5,,73.85,8.64,75.06,75.46
Kabupaten Sumedang,2015,1028765,4069.0,25.1,86.0,72.93,8.62,82.1,84.53
Kabupaten Sumedang,2016,621628,3635.0,,80.0,72.95,8.9,81.02,89.54
Kabupaten Sumedang,2017,748957,4583.0,25.4,79.0,73.08,8.37,61.6,69.62
Kabupaten Sumedang,2018,708976,1843.0,,71.0,72.95,8.84,60.27,72.23
Kabupaten Sumedang,2019,733948,3825.0,24.9,83.0,73.19,9.52,73.9,67.87
Kabupaten Sumedang,2020,635727,3312.0,25.4,64.0,76.16,7.93,73.81,78.92
Kabupaten Sumedang,2021,661388,3665.0,25.2,85.0,73.64,8.56,93.43,92.1
Kabupaten Sumedang,2022,749125,2756.0,24.9,82.0,74.24,7.49,74.66,89.79
Kabupaten Sumedang,2023,699442,3465.0,25.2,88.0,74.33,8.67,60.35,85.99
Kabupaten Indramayu,2004,1138498,2784.0,27.3,,75.86,4.89,64.31,83.44
Kabupaten Indramayu,2005,1393405,3414.0,26.8,86.0,76.17,5.6,83.55,74.09
Kabupaten Indramayu,2006,1580526,2359.0,28.2,78.0,76.55,4.96,71.16,84.21
Kabupaten Indramayu,2007,1541406,3436.0,26.4,87.0,76.5,6.15,75.07,69.71
Kabupaten Indramayu,2008,1310767,3150.0,28.2,89.0,76.67,3.94,83.7,84.99
Kabupaten Indramayu,2009,1208144,2052.0,27.0,79.0,77.39,5.44,77.0,65.91
Kabupaten Indramayu,2010,1486877,2728.0,27.1,79.0,76.52,4.77,70.12,94.7
Kabupaten Indramayu,2011,1703811,3105.0,27.2,88.0,78.63,5.32,93.64,77.85
Kabupaten Indramayu,2012,1050445,2111.0,26.7,81.0,77.99,5.19,75.42,74.98
Kabupaten Indramayu,2013,1477510,2295.0,,78.0,77.49,3.64,79.52,76.46
Kabupaten Indramayu,2014,1153130,2855.0,28.6,73.0,78.33,5.6,81.72,71.64
Kabupaten Indramayu,2015,1777959,2471.0,27.3,,77.71,2.53,91.83,88.83
Kabupaten Indramayu,2016,1598089,2778.0,27.6,77.0,77.51,4.39,93.04,69.91
Kabupaten Indramayu,2017,1298074,2930.0,27.4,87.0,79.46,4.55,70.0,71.71
Kabupaten Indramayu,2018,1251476,3474.0,26.1,100.0,79.68,3.46,88.96,90.23
Kabupaten Indramayu,2019,1433130,3027.0,27.4,78.0,81.2,4.22,89.64,94.47
Kabupaten Indramayu,2020,1496621,1122.0,27.8,81.0,77.55,5.08,,69.44
Kabupaten Indramayu,2021,1569589,2195.0,26.5,75.0,78.63,3.57,60.31,97.93
Kabupaten Indramayu,2022,1570743,3004.0,27.8,,81.66,5.58,83.05,90.28
Kabupaten Indramayu,2023,1529755,2916.0,28.0,79.0,78.2,3.46,74.25,67.18
Kabupaten Subang,2004,558306,1931.0,26.8,78.0,79.22,4.65,62.55,78.29
Kabupaten Subang,2005,562668,1378.0,26.6,86.0,79.59,4.23,91.71,75.61
Kabupaten Subang,2006,427336,1676.0,27.1,80.0,79.78,4.0,91.1,81.6
Kabupaten Subang,2007,583721,2475.0,26.3,75.0,80.13,4.84,84.99,92.14
Kabupaten Subang,2008,575513,2193.0,26.3,80.0,80.55,3.17,64.68,85.78
Kabupaten Subang,2009,553448,1506.0,27.1,86.0,79.81,3.34,60.13,73.15
Kabupaten Subang,2010,484222,2109.0,26.9,74.0,80.3,4.86,91.22,79.32
Kabupaten Subang,2011,500456,1644.0,27.5,79.0,80.73,5.72,84.63,65.14
Kabupaten Subang,2012,599328,1440.0,27.2,80.0,81.84,2.81,63.69,90.8
Kabupaten Subang,2013,644034,1571.0,27.1,82.0,81.47,4.11,76.02,71.89
Kabupaten Subang,2014,438693,1234.0,27.8,77.0,82.77,4.18,90.81,72.12
Kabupaten Subang,2015,731180,2056.0,28.0,74.0,82.47,3.24,71.05,86.28
Kabupaten Subang,2016,684844,1459.0,27.2,78.0,81.45,2.74,89.24,65.48
Kabupaten Subang,2017,565712,,26.4,78.0,82.09,1.65,80.83,65.33
Kabupaten Subang,2018,600647,1707.0,,81.0,81.93,3.27,94.16,69.14
Kabupaten Subang,2019,684808,1640.0,27.2,86.0,83.05,3.42,73.01,65.04
Kabupaten Subang,2020,638213,1256.0,27.4,84.0,83.01,3.52,67.99,73.14
Kabupaten Subang,2021,540814,2297.0,27.0,,85.8,2.36,87.48,97.71
Kabupaten Subang,2022,600566,,26.9,75.0,82.23,4.54,87.35,84.08
Kabupaten Subang,2023,472906,1834.0,26.8,70.0,84.96,5.32,72.08,95.28
Kabupaten Purwakarta,2004,412199,3459.0,26.5,81.0,75.62,4.53,,80.17
Kabupaten Purwakarta,2005,445965,1360.0,28.4,70.0,75.73,4.34,94.34,91.17
Kabupaten Purwakarta,2006,440890,2727.0,26.5,83.0,76.08,4.66,94.34,71.27
Kabupaten Purwakarta,2007,424439,2647.0,27.5,75.0,76.35,4.75,68.66,86.14
Kabupaten Purwakarta,2008,403626,2670.0,28.3,82.0,76.61,3.68,71.26,92.99
Kabupaten Purwakarta,2009,513961,,27.6,76.0,76.84,4.13,,74.53
Kabupaten Purwakarta,2010,523834,2351.0,27.1,89.0,76.92,2.51,87.56,73.28
Kabupaten Purwakarta,2011,542447,1478.0,28.0,71.0,76.72,4.3,63.56,81.7
Kabupaten Purwakarta,2012,442460,2774.0,,84.0,77.46,5.28,69.89,76.65
Kabupaten Purwakarta,2013,478607,2347.0,28.0,79.0,77.86,5.62,80.69,71.14
Kabupaten Purwakarta,2014,533920,2234.0,25.9,81.0,79.05,4.42,86.99,86.6
Kabupaten Purwakarta,2015,395524,1572.0,27.6,76.0,77.14,3.36,60.0,78.75
Kabupaten Purwakarta,2016,423469,2456.0,26.8,72.0,77.65,5.23,85.97,93.0
Kabupaten Purwakarta,2017,390029,1597.0,27.0,88.0,80.1,3.55,,94.76
Kabupaten Purwakarta,2018,428996,3134.0,,86.0,77.35,2.88,87.32,84.26
Kabupaten Purwakarta,2019,508165,2757.0,26.5,87.0,80.53,3.66,77.98,81.79
Kabupaten Purwakarta,2020,514117,2350.0,27.8,86.0,80.64,3.76,85.51,93.44
Kabupaten Purwakarta,2021,506414,2849.0,27.1,76.0,79.03,1.31,89.98,88.14
Kabupaten Purwakarta,2022,503589,3257.0,27.4,,79.47,4.8,73.45,65.83
Kabupaten Purwakarta,2023,531250,1699.0,27.2,86.0,80.63,2.39,61.81,81.66
Kabupaten Karawang,2004,928585,3044.0,23.2,72.0,77.0,9.56,81.87,83.87
Kabupaten Karawang,2005,1218199,3270.0,23.5,72.0,77.21,9.11,71.69,89.18
Kabupaten Karawang,2006,979546,3127.0,23.5,86.0,77.46,9.53,73.09,96.17
Kabupaten Karawang,2007,1065012,4120.0,24.6,71.0,77.68,10.16,63.55,74.17
Kabupaten Karawang,2008,1008717,2149.0,23.1,80.0,78.56,11.22,84.66,78.95
Kabupaten Karawang,2009,991311,2510.0,22.9,74.0,78.22,9.35,70.06,86.67
Kabupaten Karawang,2010,1106100,3480.0,23.8,81.0,77.77,10.74,69.36,65.5
Kabupaten Karawang,2011,1296095,,24.5,68.0,78.27,10.19,90.31,96.24
Kabupaten Karawang,2012,1056563,3403.0,24.9,85.0,79.43,9.63,,79.86
Kabupaten Karawang,2013,1049860,3154.0,24.2,77.0,79.72,9.1,63.57,65.27
Kabupaten Karawang,2014,950202,3134.0,24.1,81.0,79.3,11.03,60.32,84.45
Kabupaten Karawang,2015,1011113,4236.0,24.7,85.0,78.4,8.97,90.71,89.38
Kabupaten Karawang,2016,977352,,24.9,77.0,80.38,9.19,88.8,95.78
Kabupaten Karawang,2017,1165866,2321.0,24.0,89.0,81.18,9.61,62.4,77.25
Kabupaten Karawang,2018,1116950,,22.9,81.0,79.95,9.09,75.9,85.8
Kabupaten Karawang,2019,1196761,3761.0,23.3,68.0,81.42,6.34,62.24,92.22
Kabupaten Karawang,2020,1013307,,23.5,80.0,80.96,8.06,74.34,86.62
